Share Class Ref,Field,Old Value,New Value,Remarks
A0435-0001,CUSIP,3262102,"003262102",leading zeroes being stripped from CUSIP in HMRC data
A0436-0001,CUSIP,3260106,"003260106",leading zeroes being stripped from CUSIP in HMRC data
A0437-0001,CUSIP,3263100,"003263100",leading zeroes being stripped from CUSIP in HMRC data
A0438-0001,CUSIP,3264108,"003264108",leading zeroes being stripped from CUSIP in HMRC data
A0585-0001,Parent Fund,Advisors Inner Circle Fund (The),Brown Advisory,Overriding legal-entity name of the parent fund with the fund family name generally used in marketing.
A0611-0001,Parent Fund,ARK 21Shares Bitcoin ETF,21Shares,
A0611-0001,Sub Fund,Share class,Bitcoin ETF,
A0612-0001,Parent Fund,Advisors Inner Circle Fund III (The),Brown Advisory,Overriding legal-entity name of the parent fund with the fund family name generally used in marketing.
A0612-0002,Parent Fund,Advisors Inner Circle Fund III (The),Brown Advisory,Overriding legal-entity name of the parent fund with the fund family name generally used in marketing.
A0612-0003,Parent Fund,Advisors Inner Circle Fund III (The),Brown Advisory,Overriding legal-entity name of the parent fund with the fund family name generally used in marketing.
A0612-0004,Parent Fund,Advisors Inner Circle Fund III (The),Brown Advisory,Overriding legal-entity name of the parent fund with the fund family name generally used in marketing.
A0636-0001,Parent Fund,"AB Active ETFs, Inc.",AllianceBernstein,Overriding legal-entity name of the parent fund with the fund family name generally used in marketing.
B0278-0005,ISIN,US90789C7544,US09789C7544,BondBloxx BBB Rated 1-5 Year Corporate Bond ETF: first two digits of CUSIP transposed.  Source: https://bondbloxxetf.com/BondBloxx-BBB-Rated-1-5-Year-Corporate-Bond-ETF/ - retrieved 9 December 2025.
D0033-0005,CUSIP,25459W 144,"25460E216",Direxion Daily Financial Bear 3x Shares: CUSIP differs from that used in HMRC sheet.  Source: https://www.dtcc.com/charts/exchange-traded-funds (CUSIP from fund company site doesn't match data in OpenFIGI) - retrieved 9 Oct 2025.
D0033-0006,CUSIP,25459W 516,25459Y694,Direxion Daily Financial Bull 3x Shares: CUSIP differs from that used in HMRC sheet.  Source: https://www.dtcc.com/charts/exchange-traded-funds (CUSIP from fund company site doesn't match data in OpenFIGI) - retrieved 9 Oct 2025.
D0115-0010,Sub Fund,Dimensionional Inflation Protected Securities ETF,Dimensional Inflation Protected Securities ETF,"No ISIN/CUSIP problems, but sub fund name started with ""Dimensionional""."
D0115-0041,CUSIP,25434F575,25434V575,Dimensional Global ex US Core Fixed Income ETF: incorrect CUSIP in HMRC sheet: Source: https://www.dimensional.com/us-en/funds/dfgx/global-ex-us-core-fixed-income-etf
G0080-0005,ISIN,US37950E5490,US37960A6698,Global X SuperDividend ETF: incorrect ISIN in HMRC sheet.  Source: https://www.globalxetfs.com/funds/sdiv/ - retrieved 24 Dec 2022.
G0080-0010,ISIN,US37950E3669,US37954Y3190,Global X MSCI Greece ETF: incorrect ISIN in HMRC sheet.  Source: https://www.globalxetfs.com/funds/GREK/ - retrieved 24 Dec 2022
G0280-0001,Sub Fund,Shares,Solana Trust,
T0267-0001,Parent Fund,21Shares Ethereum ETF,21Shares,
T0267-0001,Sub Fund,Share class,Ethereum ETF,
T0268-0001,Parent Fund,21Shares XRP ETF,21Shares,
T0268-0001,Sub Fund,Share class,XRP ETF,
T0269-0001,Parent Fund,21Shares Solana ETF,21Shares,
T0269-0001,Sub Fund,Share class,Solana ETF,
T0270-0001,Parent Fund,21Shares FTSE Crypto 10 Index ETF,21Shares,
T0270-0001,Sub Fund,Share class,FTSE Crypto 10 Index ETF,
T0271-0001,Parent Fund,21Shares FTSE Crypto 10 ex-BTC Index ETF,21Shares,
T0271-0001,Sub Fund,Share class,FTSE Crypto 10 ex-BTC Index ETF,
T0272-0001,ISIN,US53656G1756,US53656H5533,
T0272-0001,Parent Fund,21Shares 2x Long Dogecoin ETF,21Shares,
T0272-0001,Sub Fund,Share class,2x Long Dogecoin ETF,
T0273-0001,ISIN,US53656G1673,US53656H5871,
T0273-0001,Parent Fund,21Shares 2x Long Sui ETF,21Shares,
T0273-0001,Sub Fund,Share class,2x Long Sui ETF,
U0088-0001,Parent Fund,US Vegan Climate ETF,Beyond Investing,Overriding legal-entity name of the parent fund with the fund family name generally used in marketing.
V0015-0001,Sub Fund,Vanguard Tax-Managed International Fund Vanguard FTSE Developed Markets ETF,Vanguard FTSE Developed Markets ETF,"No ISIN/CUSIP problems, but sub fund name was long and included the words ""Tax-Managed"" - fund prospectus doesn’t mention taxes outside the usual boilerplate language."
V0016-0009,Sub Fund,Vanguard Mid-Cap Index Fund Vanguard Mid-Cap ETF ,Vanguard Mid-Cap Index Fund,"No ISIN/CUSIP problems, but sub fund name was a bit garbled: ""Vanguard Mid-Cap Index Fund Vanguard Mid-Cap ETF""."
W0065-0001,Parent Fund,World Gold Trust,SPDR,Overriding legal-entity name of the fund with the family/fund names generally used in marketing.
W0065-0001,Sub Fund,SPDR® Gold MiniShares Trust - SPDR® Gold MiniShares,Gold MiniShares,Overriding legal-entity name of the fund with the family/fund names generally used in marketing.
