CUSIP,Category
464287226,Fixed income: United States
33738R704,
53656F789,
33733E849,
33733H107,
921937819,Fixed income: United States
921937793,Fixed income: United States
921937835,Fixed income: United States
92203J407,Fixed income: global/non-US
37954Y715,
921937827,Fixed income: United States
33740U703,
33740U752,
33740F755,
33734X309,
33734X846,
37954Y830,
33740F540,
33738R696,
33740U109,
25434V757,Equities: global/non-US
97717W315,
25434V708,Equities: United States
25434V302,Equities: global/non-US
25434V203,Equities: global/non-US
25434V823,Real estate
25434V500,Equities: United States
25434V609,Equities: United States
25434V104,Equities: United States
25434V880,Equities: global/non-US
25434V872,Fixed income: global/non-US
25434V732,Equities: global/non-US
25434V740,Equities: global/non-US
25434V799,Equities: global/non-US
25434V856,Fixed income: United States
25434V773,Equities: global/non-US
25434V807,Equities: global/non-US
25434V849,Fixed income: United States
25434V864,Fixed income: global/non-US
25434V815,Equities: United States
25434V401,Equities: United States
25434V724,Equities: United States
97717W281,
25434V765,Equities: global/non-US
25434V781,Equities: global/non-US
37950E291,
25434V831,Equities: United States
97717W851,
97717W521,
33738D705,
33733A201,
921910709,Fixed income: United States
33740U604,
92189H300,
33738D101,
97717W422,
33740U877,
33733C108,
33733F101,
33736G106,
25459Y694,
25460E240,
33733E203,
33737J133,
33737J141,
33733E807,
33739Q507,
33735T109,
336917109,
33718M105,
33733E302,
33734X770,
33737J174,
33737J406,
33737J182,
33739P202,
33737J307,
33737J117,
33737J505,
33734K109,
33736N101,
33734X200,
33737J190,
33738R662,
33738R688,
33733B100,
33740F805,
33737J158,
33737J224,
33736M103,
33737J125,
35473P207,
33733A102,
33737M201,
33735B108,
33737M102,
33737J109,
33739E108,
33739P855,
336920103,
33734X788,
33734X853,
33734G108,
33737J232,
33735J101,
33734X812,
33735K108,
33733E104,
33739H101,
33738R308,
33739P103,
33738R407,
33734X838,
33738D309,
33739Q408,
33738R605,
33738R878,
33734H106,
33734X101,
33734X119,
33734X143,
33734X176,
33734X127,
33734X135,
33734X150,
33734X184,
33734X168,
33737M300,
33737M409,
33734Y109,
92189F106,
92189F791,
78463V107,Gold
92189F767,
003263100,
37954Y319,
33737A108,
37950E341,
97717X701,
92189H409,
33738D408,
46432F842,Equities: global/non-US
33738R886,
33733E856,
92189F445,
464287606,Equities: United States
464287804,Equities: United States
33740F565,
921932869,Equities: United States
921932885,Equities: United States
921932844,Equities: United States
464287200,Equities: United States
464287614,Equities: United States
464287481,Equities: United States
464287689,Equities: United States
33739Q705,
500767678,
33741X201,
464286517,Fixed income: global/non-US
33738D606,
37954Y855,
33739Q200,
33738R100,
921910873,Equities: United States
921910816,Equities: United States
921910840,Equities: United States
92189F643,
92189F700,
33737J802,
33737K205,
92189H607,
003262102,
92189F429,
46434G848,
003260106,
33736Q104,
33733E500,
337344105,
25459Y207,
33733E401,
337345102,
00774Q197,
00775Y728,
00775Y710,
33738R506,
33738R720,
92189F403,
37960A669,
85210H109,Gold
00326A104,Gold
41151J208,
41151J109,
37954Y848,
003264108,
33734X192,
92189F676,
25460E869,
46429B747,Fixed income: United States
33738R118,
33740F888,
37954Y871,
46435U853,Fixed income: United States
92204A801,
922908751,Equities: United States
922908595,Equities: United States
922908611,Equities: United States
92206C870,Fixed income: United States
92206C813,Fixed income: United States
92204A108,
92206C409,Fixed income: United States
92204A207,
92204A306,
921943858,Equities: global/non-US
922042775,Equities: global/non-US
92204A405,
92206C706,Fixed income: United States
922042874,Equities: global/non-US
92206C847,Fixed income: United States
92206C102,Fixed income: United States
92204A702,
92204A504,
921908844,Equities: United States
921932794,Equities: United States
921932828,Equities: United States
921932778,Equities: United States
92204A603,
92206C771,Fixed income: United States
92189F817,
922908553,Real estate
922042676,Real estate
922908629,Equities: United States
922908512,Equities: United States
92206C730,Equities: United States
92206C680,Equities: United States
92206C714,Equities: United States
922908363,Equities: United States
921932505,Equities: United States
921932703,Equities: United States
922908538,Equities: United States
92204A884,
922042866,Equities: global/non-US
92204A876,
922042718,Equities: global/non-US
922042742,Equities: global/non-US
92206C599,Equities: United States
922908769,Equities: United States
922908744,Equities: United States
92206C623,Equities: United States
92206C664,Equities: United States
92206C649,Equities: United States
922908736,Equities: United States
922908637,Equities: United States
922042858,Equities: global/non-US
921946885,Fixed income: global/non-US
922908652,Equities: United States
921909768,Equities: global/non-US
921946406,Equities: United States
09789C788,Fixed income: United States
09789C861,Fixed income: United States
33740U851,
33740Y101,
